n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
200475,10,2.0410724529243045,4.442269609677017,10.840743234817309,1.1764389614452182,13,config,2.5,4.0,100000,3,3.96246,3.16
233627,27,3.0713016903012065,12.60995090464715,71.01511811562875,3.1057350192811812,26,hrg,2.5,4.0,300000,1,3.9903466666666665,5.32
612251,14,2.019537738607205,4.34567195480285,10.777769248233161,1.1518151761798165,19,config,2.5,4.0,300000,1,3.9679933333333333,10.09
234711,26,3.079340124663949,12.727179382304195,71.56182283744691,3.133086592275389,25,hrg,2.5,4.0,300000,2,4.00408,8.64
604820,12,2.044300783704243,4.47839357164115,11.210327039449753,1.19067253084273,17,config,2.5,4.0,300000,2,3.96476,13.75
233553,27,3.0721292383313425,12.629094894948897,71.3008482014789,3.1108605514944143,26,hrg,2.5,4.0,300000,3,3.9902333333333333,5.38
612684,13,2.0248692637640286,4.3995289578314445,11.225870105960007,1.1727471677125276,18,config,2.5,4.0,300000,3,3.9712666666666667,10.15
750,11,5.008,28.949333333333335,187.52000000000004,4.780617678381257,10,hrg,2.5,8.0,1000,1,7.93,0.04
3146,6,2.3286713286713288,5.834075015893197,16.073744437380803,1.505323505323505,7,config,2.5,8.0,1000,1,7.624,0.04
754,14,4.458885941644562,23.562334217506628,144.67108753315648,4.284354550862582,13,hrg,2.5,8.0,1000,2,6.786,0.09
2815,5,2.247602131438721,5.348134991119006,13.672113676731794,1.3794847479058014,7,config,2.5,8.0,1000,2,6.53,0.1
783,14,5.148148148148149,31.648786717752227,225.99872286079184,5.147606053088562,14,hrg,2.5,8.0,1000,3,8.046,0.05
3147,6,2.452494439148395,6.639974578964092,20.25611693676517,1.7074371598859805,8,config,2.5,8.0,1000,3,7.612,0.06
2391,13,5.11836051861146,31.640317858636553,226.98034295273945,5.1817290406929235,13,hrg,2.5,8.0,3000,1,7.994666666666666,0.13
9763,8,2.384205674485302,6.24715763597255,18.515312916111853,1.6202259741375604,10,config,2.5,8.0,3000,1,7.668,0.15
2348,16,5.057921635434412,31.2129471890971,227.64054514480407,5.171101380936341,15,hrg,2.5,8.0,3000,2,7.922666666666666,0.12
10339,6,2.2136570267917595,5.164619402263276,12.922429635361254,1.333071175776642,9,config,2.5,8.0,3000,2,7.770666666666667,0.14
2322,13,4.546511627906978,25.437984496124034,168.07881136950905,4.595055413469735,13,hrg,2.5,8.0,3000,3,6.852,0.18
9009,7,2.2221112221112227,5.2979242979242995,14.048285048285049,1.3841850242269844,9,config,2.5,8.0,3000,3,6.7026666666666666,0.21
7958,15,5.134455893440562,31.885649660718773,231.22769540085446,5.210132158590309,15,hrg,2.5,8.0,10000,1,8.0476,0.34
35452,9,2.2765147241340404,5.669158298544511,16.232624393546203,1.490279653561649,11,config,2.5,8.0,10000,1,7.879,0.43
8041,20,5.1795796542718575,34.41275960701406,288.1630394229573,5.643929025906985,20,hrg,2.5,8.0,10000,2,8.0268,0.14
34993,9,2.358414540050868,6.287314605778298,20.184208270225476,1.6659073284218682,13,config,2.5,8.0,10000,2,7.8228,0.65
8005,23,5.128794503435354,33.73191755153029,283.28594628357274,5.576968043647698,22,hrg,2.5,8.0,10000,3,7.9316,0.4
34325,9,2.396300072833212,6.512891478514202,21.212614712308813,1.7178947880320474,14,config,2.5,8.0,10000,3,7.6904,0.49
23938,29,5.160456178461024,35.14382989389255,319.45037179380057,5.810217678153662,28,hrg,2.5,8.0,30000,1,7.9424,0.85
107760,11,2.3195063103192286,6.068856718634002,19.22724573125464,1.6164432886577313,16,config,2.5,8.0,30000,1,7.7866,1.23
